Date,Close,High,Low,Open,Volume
2020-02-28,273.36,278.41,256.37,257.26,106721200
2020-02-27,273.52,286.0,272.96,281.1,80151380
2020-02-26,292.65,297.88,286.5,286.53,49678430
2020-02-25,288.08,302.53,286.13,300.95,57668360
2020-02-24,298.18,304.18,289.23,297.26,55548830
2020-02-21,313.05,320.45,310.5,318.62,32426420
2020-02-20,320.3,324.65,318.21,322.63,25141490
2020-02-19,323.62,324.57,320.0,320.0,23495990
2020-02-18,319.0,319.75,314.61,315.36,38190550
2020-02-14,324.95,325.98,322.85,324.74,20028450
2020-02-13,324.87,326.22,323.35,324.19,23686890
2020-02-12,327.2,327.22,321.47,321.47,28432570
2020-02-11,319.61,323.9,318.71,323.6,23580780
2020-02-10,321.55,321.55,313.85,314.18,27337220
2020-02-07,320.03,323.4,318.0,322.37,29421010
2020-02-06,325.21,325.22,320.2648,322.57,26356390
2020-02-05,321.45,324.76,318.95,323.52,29706720
2020-02-04,318.85,319.64,313.6345,315.31,34154130
2020-02-03,308.66,313.49,302.22,304.3,43496400
2020-01-31,309.51,322.68,308.29,320.93,49897100
2020-01-30,323.87,324.09,318.75,320.544,31685810
2020-01-29,324.34,327.85,321.38,324.45,54149930
2020-01-28,317.69,318.4,312.19,312.6,40558490
2020-01-27,308.95,311.77,304.88,310.06,40485010
2020-01-24,318.31,323.33,317.5188,320.25,36634380
2020-01-23,319.23,319.56,315.65,317.92,26117990
2020-01-22,317.7,319.99,317.31,318.58,25458120
2020-01-21,316.57,319.02,316.0,317.19,27710810
2020-01-17,318.73,318.74,315.0,316.27,34454120
2020-01-16,315.24,315.7,312.09,313.59,27207250
2020-01-15,311.34,315.5,309.55,311.85,30480880
2020-01-14,312.68,317.57,312.17,316.7,40653460
2020-01-13,316.96,317.07,311.15,311.64,30521720
2020-01-10,310.33,312.67,308.25,310.6,35217270
2020-01-09,309.63,310.43,306.2,307.235,42621540
2020-01-08,303.19,304.4399,297.156,297.16,33090950
2020-01-07,298.39,300.9,297.48,299.84,27877660
